
                            Radial Profiles
                            ---------------

                          Partial Pressures, kPa
  J  dist,m   temp,K   CO2     H2O     CH4     CO      O2      N2        FV
  1   1.0000  1000.   7.500  15.600   0.000   0.000   0.000  77.000 0.0000E+00
wall             0.

 Total directional radiated energy flux =0.513236E+04 Watts/m-2/strad

 
        Spectral Intensity Distribution, Watts/m-2/micron/strad
        -------------------------------------------------------

  micron    intensity      tau        micron    intensity      tau
   1.005   0.0000E+00    1.0000        6.061   0.4915E+03    0.6713
   1.010   0.0000E+00    1.0000        6.154   0.3354E+03    0.7673
   1.015   0.0000E+00    1.0000        6.250   0.2727E+03    0.8036
   1.020   0.0000E+00    1.0000        6.349   0.3404E+03    0.7451
   1.026   0.0000E+00    1.0000        6.452   0.6448E+03    0.4976
   1.031   0.0000E+00    1.0000        6.557   0.8091E+03    0.3433
   1.036   0.0000E+00    1.0000        6.667   0.7785E+03    0.3409
   1.042   0.0000E+00    1.0000        6.780   0.6885E+03    0.3914
   1.047   0.0000E+00    1.0000        6.897   0.6503E+03    0.3990
   1.053   0.0000E+00    1.0000        7.018   0.5942E+03    0.4251
   1.058   0.0000E+00    1.0000        7.143   0.5493E+03    0.4429
   1.064   0.0000E+00    1.0000        7.273   0.5215E+03    0.4448
   1.070   0.0000E+00    1.0000        7.407   0.5007E+03    0.4397
   1.075   0.0000E+00    1.0000        7.547   0.4841E+03    0.4298
   1.081   0.9651E-03    1.0000        7.692   0.4359E+03    0.4587
   1.087   0.1912E-02    1.0000        7.843   0.3907E+03    0.4877
   1.093   0.1950E-01    0.9999        8.000   0.3224E+03    0.5528
   1.099   0.2775E-01    0.9998        8.163   0.2523E+03    0.6293
   1.105   0.3568E-01    0.9998        8.333   0.1841E+03    0.7129
   1.111   0.6768E-01    0.9996        8.511   0.1212E+03    0.7990
   1.117   0.1083E+00    0.9994        8.696   0.6940E+02    0.8774
   1.124   0.1362E+00    0.9993        8.889   0.5270E+02    0.9006
   1.130   0.1656E+00    0.9991        9.091   0.7467E+02    0.8494
   1.136   0.1990E+00    0.9990        9.132   0.7664E+02    0.8433
   1.143   0.2385E+00    0.9989        9.174   0.7706E+02    0.8403
   1.149   0.2572E+00    0.9988        9.217   0.7549E+02    0.8413
   1.156   0.3277E+00    0.9986        9.259   0.7153E+02    0.8475
   1.163   0.3571E+00    0.9985        9.302   0.6474E+02    0.8600
   1.170   0.3956E+00    0.9984        9.346   0.5462E+02    0.8802
   1.176   0.3955E+00    0.9985        9.390   0.3969E+02    0.9117
   1.183   0.4919E+00    0.9982        9.434   0.4519E+02    0.8980
   1.190   0.5085E+00    0.9982        9.479   0.5476E+02    0.8747
   1.198   0.3406E+00    0.9988        9.524   0.5999E+02    0.8607
   1.205   0.3874E+00    0.9987        9.569   0.6224E+02    0.8533
   1.212   0.3221E+00    0.9990        9.615   0.6201E+02    0.8517
   1.220   0.3861E+00    0.9988        9.662   0.5989E+02    0.8546
   1.227   0.1765E+00    0.9995        9.709   0.5643E+02    0.8610
   1.235   0.1500E+00    0.9996        9.756   0.5220E+02    0.8694
   1.242   0.1550E+00    0.9996        9.804   0.4795E+02    0.8782
   1.250   0.6845E-01    0.9998        9.852   0.4411E+02    0.8863
   1.258   0.6373E-01    0.9998        9.901   0.4115E+02    0.8923
   1.266   0.8317E-01    0.9998        9.950   0.3928E+02    0.8956
   1.274   0.1333E+00    0.9997       10.000   0.3839E+02    0.8963
   1.282   0.1996E+00    0.9996       10.050   0.3823E+02    0.8952
   1.290   0.2460E+00    0.9995       10.101   0.3814E+02    0.8937
   1.299   0.1109E+01    0.9978       10.152   0.3766E+02    0.8934
   1.307   0.1231E+01    0.9976       10.204   0.3641E+02    0.8953
   1.316   0.2961E+01    0.9945       10.256   0.3414E+02    0.9002
   1.325   0.7000E+01    0.9875       10.309   0.3074E+02    0.9087
   1.333   0.9231E+01    0.9841       10.363   0.2608E+02    0.9213
   1.342   0.2480E+02    0.9590       10.417   0.2208E+02    0.9322
   1.351   0.6064E+02    0.9035       10.471   0.2670E+02    0.9167
   1.361   0.8543E+02    0.8691       10.526   0.2980E+02    0.9055
   1.370   0.8545E+02    0.8739       10.582   0.3167E+02    0.8978
   1.379   0.7822E+02    0.8888       10.638   0.3231E+02    0.8940
   1.389   0.9072E+02    0.8758       10.695   0.3195E+02    0.8934
   1.399   0.9606E+02    0.8733       10.753   0.3082E+02    0.8954
   1.408   0.9294E+02    0.8818       10.811   0.2916E+02    0.8993
   1.418   0.9219E+02    0.8870       10.870   0.2738E+02    0.9038
   1.429   0.8614E+02    0.8982       10.929   0.2555E+02    0.9087
   1.439   0.7531E+02    0.9141       10.989   0.2386E+02    0.9132
   1.449   0.6666E+02    0.9267       11.050   0.2243E+02    0.9169
   1.460   0.5560E+02    0.9410       11.111   0.2132E+02    0.9196
   1.471   0.3470E+02    0.9644       11.173   0.2069E+02    0.9206
   1.481   0.3204E+02    0.9683       11.236   0.2031E+02    0.9207
   1.493   0.2705E+02    0.9741       11.299   0.2010E+02    0.9200
   1.504   0.2351E+02    0.9783       11.364   0.1982E+02    0.9197
   1.515   0.2039E+02    0.9818       11.429   0.1988E+02    0.9179
   1.527   0.1432E+02    0.9876       11.494   0.2002E+02    0.9158
   1.538   0.1234E+02    0.9897       11.561   0.2015E+02    0.9136
   1.550   0.7437E+01    0.9940       11.628   0.2026E+02    0.9115
   1.562   0.5328E+01    0.9958       11.696   0.2035E+02    0.9094
   1.575   0.4518E+01    0.9966       11.765   0.2043E+02    0.9073
   1.587   0.3553E+01    0.9974       11.834   0.2068E+02    0.9044
   1.600   0.2344E+01    0.9983       11.905   0.2090E+02    0.9014
   1.613   0.1702E+01    0.9988       11.976   0.2110E+02    0.8985
   1.626   0.1547E+01    0.9990       12.048   0.2275E+02    0.8884
   1.639   0.1433E+01    0.9991       12.121   0.2334E+02    0.8832
   1.653   0.1356E+01    0.9992       12.195   0.2918E+02    0.8510
   1.667   0.1294E+01    0.9992       12.270   0.2628E+02    0.8631
   1.681   0.1620E+01    0.9990       12.346   0.2803E+02    0.8510
   1.695   0.1779E+01    0.9990       12.422   0.3048E+02    0.8346
   1.709   0.2113E+01    0.9988       12.500   0.3215E+02    0.8219
   1.724   0.4877E+01    0.9974       12.579   0.3437E+02    0.8056
   1.739   0.1136E+02    0.9941       12.658   0.3698E+02    0.7864
   1.754   0.3351E+02    0.9830       12.739   0.4117E+02    0.7571
   1.770   0.7622E+02    0.9623       12.821   0.4518E+02    0.7278
   1.786   0.1495E+03    0.9281       12.903   0.4731E+02    0.7087
   1.802   0.2438E+03    0.8859       12.987   0.5194E+02    0.6732
   1.818   0.3116E+03    0.8579       13.072   0.5700E+02    0.6335
   1.835   0.3230E+03    0.8566       13.158   0.6303E+02    0.5857
   1.852   0.3417E+03    0.8521       13.245   0.6955E+02    0.5326
   1.869   0.4384E+03    0.8150       13.333   0.6729E+02    0.5376
   1.887   0.2901E+03    0.8807       13.423   0.8030E+02    0.4356
   1.905   0.2509E+03    0.8993       13.514   0.9173E+02    0.3405
   1.923   0.2923E+03    0.8855       13.605   0.8992E+02    0.3385
   1.942   0.3618E+03    0.8615       13.699   0.9023E+02    0.3207
   1.961   0.4035E+03    0.8491       13.793   0.1006E+03    0.2250
   1.980   0.3451E+03    0.8738       13.889   0.1171E+03    0.0760
   2.000   0.3990E+03    0.8573       13.986   0.1132E+03    0.0858
   2.010   0.2803E+03    0.9009       14.085   0.1093E+03    0.0961
   2.020   0.2627E+03    0.9081       14.184   0.1095E+03    0.0719
   2.030   0.1433E+03    0.9504       14.286   0.1079E+03    0.0631
   2.041   0.1423E+03    0.9513       14.388   0.1076E+03    0.0428
   2.051   0.1509E+03    0.9489       14.493   0.1074E+03    0.0202
   2.062   0.1215E+03    0.9592       14.599   0.1054E+03    0.0143
   2.073   0.1287E+03    0.9573       14.706   0.1025E+03    0.0172
   2.083   0.4002E+02    0.9868       14.815   0.1012E+03    0.0048
   2.094   0.1477E+02    0.9952       14.925   0.9908E+02    0.0004
   2.105   0.6157E+01    0.9980       15.038   0.9654E+02    0.0005
   2.116   0.5540E+01    0.9982       15.152   0.9225E+02    0.0198
   2.128   0.5155E+01    0.9984       15.267   0.9024E+02    0.0157
   2.139   0.4585E+01    0.9986       15.385   0.8808E+02    0.0134
   2.151   0.4031E+01    0.9987       15.504   0.8401E+02    0.0335
   2.162   0.3904E+01    0.9988       15.625   0.7919E+02    0.0641
   2.174   0.3704E+01    0.9989       15.748   0.7619E+02    0.0746
   2.186   0.3792E+01    0.9989       15.873   0.7249E+02    0.0950
   2.198   0.3966E+01    0.9988       16.000   0.6745E+02    0.1343
   2.210   0.4368E+01    0.9987       16.129   0.6382E+02    0.1576
   2.222   0.4705E+01    0.9986       16.260   0.6670E+02    0.0943
   2.235   0.4873E+01    0.9986       16.393   0.6267E+02    0.1244
   2.247   0.7045E+01    0.9980       16.529   0.5662E+02    0.1858
   2.260   0.7306E+01    0.9979       16.667   0.5252E+02    0.2225
   2.273   0.9408E+01    0.9973       16.807   0.5332E+02    0.1872
   2.286   0.1105E+02    0.9969       16.949   0.4975E+02    0.2187
   2.299   0.1447E+02    0.9959       17.094   0.4658E+02    0.2463
   2.312   0.1655E+02    0.9954       17.241   0.4445E+02    0.2587
   2.326   0.2104E+02    0.9942       17.391   0.4271E+02    0.2656
   2.339   0.2375E+02    0.9935       17.544   0.4159E+02    0.2624
