    wq         gq         kq        aq1        aq2        aq3        aq4
 5.5566E-02 5.1201E-02 1.0056E-07 1.1349E-04 4.4089E-03 1.2272E-01 4.8243E-01
 7.5768E-02 1.1707E-01 3.1802E-07 1.6206E-03 3.9770E-02 3.4270E-01 7.0910E-01
 9.2583E-02 2.0159E-01 7.3344E-07 6.8338E-03 1.3182E-01 5.8699E-01 8.7111E-01
 1.0483E-01 3.0071E-01 2.4012E-06 9.8831E-03 1.7233E-01 6.4875E-01 8.7864E-01
 1.1185E-01 4.0950E-01 1.4519E-05 3.6367E-01 4.8589E-01 7.4587E-01 9.2075E-01
 1.1326E-01 5.2253E-01 6.4322E-05 7.4837E-01 9.0208E-01 1.0097E+00 1.0374E+00
 1.0900E-01 6.3413E-01 2.1014E-04 9.5075E-01 1.1213E+00 1.1166E+00 1.0833E+00
 9.9278E-02 7.3871E-01 6.6275E-04 9.6959E-01 1.2567E+00 1.2799E+00 1.1654E+00
 8.4579E-02 8.3102E-01 1.9721E-03 1.3306E+00 1.6521E+00 1.5328E+00 1.2665E+00
 6.5640E-02 9.0645E-01 6.1860E-03 3.0111E+00 2.5667E+00 1.8180E+00 1.3507E+00
 4.3413E-02 9.6121E-01 2.4663E-02 4.6993E+00 3.4362E+00 2.0650E+00 1.4178E+00
 1.9048E-02 9.9256E-01 1.5850E-01 1.4341E+01 6.5090E+00 2.6153E+00 1.5531E+00
