   n   m  m'    Delta
   0   0   0    1.0000
   1  -1  -1    0.0000
   1  -1   0    1.0000
   1  -1   1    0.0000
   1   0  -1   -1.0000
   1   0   0    0.0000
   1   0   1    0.0000
   1   1  -1    0.0000
   1   1   0    0.0000
   1   1   1    1.0000
   2  -2  -2    0.0000
   2  -2  -1    0.0000
   2  -2   0    0.0000
   2  -2   1    0.5000
   2  -2   2    0.0000
   2  -1  -2    0.0000
   2  -1  -1   -1.0000
   2  -1   0    0.0000
   2  -1   1    0.0000
   2  -1   2    0.0000
   2   0  -2    0.0000
   2   0  -1    0.0000
   2   0   0   -0.5000
   2   0   1    0.0000
   2   0   2   -3.0000
   2   1  -2   -2.0000
   2   1  -1    0.0000
   2   1   0    0.0000
   2   1   1    0.0000
   2   1   2    0.0000
   2   2  -2    0.0000
   2   2  -1    0.0000
   2   2   0   -0.2500
   2   2   1    0.0000
   2   2   2    0.5000
   3  -3  -3    0.0000
   3  -3  -2    0.0000
   3  -3  -1    0.0000
   3  -3   0   -0.0417
   3  -3   1    0.0000
   3  -3   2    0.2500
   3  -3   3    0.0000
   3  -2  -3    0.0000
   3  -2  -2   -1.0000
   3  -2  -1    0.0000
   3  -2   0    0.0000
   3  -2   1    0.0000
   3  -2   2    0.0000
   3  -2   3    0.0000
   3  -1  -3    0.0000
   3  -1  -2    0.0000
   3  -1  -1    0.0000
   3  -1   0   -0.2500
   3  -1   1    0.0000
   3  -1   2   -2.5000
   3  -1   3    0.0000
   3   0  -3   15.0000
   3   0  -2    0.0000
   3   0  -1    1.5000
   3   0   0    0.0000
   3   0   1    0.0000
   3   0   2    0.0000
   3   0   3    0.0000
   3   1  -3    0.0000
   3   1  -2    0.0000
   3   1  -1    0.0000
   3   1   0    0.0000
   3   1   1   -0.2500
   3   1   2    0.0000
   3   1   3   -7.5000
   3   2  -3   -1.5000
   3   2  -2    0.0000
   3   2  -1    0.2500
   3   2   0    0.0000
   3   2   1    0.0000
   3   2   2    0.0000
   3   2   3    0.0000
   3   3  -3    0.0000
   3   3  -2    0.0000
   3   3  -1    0.0000
   3   3   0    0.0000
   3   3   1   -0.1250
   3   3   2    0.0000
   3   3   3    0.2500
   4  -4  -4    0.0000
   4  -4  -3    0.0000
   4  -4  -2    0.0000
   4  -4  -1    0.0000
   4  -4   0    0.0000
   4  -4   1   -0.0208
   4  -4   2    0.0000
   4  -4   3    0.1250
   4  -4   4    0.0000
   4  -3  -4    0.0000
   4  -3  -3   -0.7500
   4  -3  -2    0.0000
   4  -3  -1    0.0417
   4  -3   0    0.0000
   4  -3   1    0.0000
   4  -3   2    0.0000
   4  -3   3    0.0000
   4  -3   4    0.0000
   4  -2  -4    0.0000
   4  -2  -3    0.0000
   4  -2  -2    0.0000
   4  -2  -1    0.0000
   4  -2   0    0.0000
   4  -2   1   -0.0833
   4  -2   2    0.0000
   4  -2   3   -3.5000
   4  -2   4    0.0000
   4  -1  -4    0.0000
   4  -1  -3   10.5000
   4  -1  -2    0.0000
   4  -1  -1    0.7500
   4  -1   0    0.0000
   4  -1   1    0.0000
   4  -1   2    0.0000
   4  -1   3    0.0000
   4  -1   4    0.0000
   4   0  -4    0.0000
   4   0  -3    0.0000
   4   0  -2    0.0000
   4   0  -1    0.0000
   4   0   0    0.3750
   4   0   1    0.0000
   4   0   2    7.5000
   4   0   3    0.0000
   4   0   4  105.0000
   4   1  -4   42.0000
   4   1  -3    0.0000
   4   1  -2    1.5000
   4   1  -1    0.0000
   4   1   0    0.0000
   4   1   1    0.0000
   4   1   2    0.0000
   4   1   3    0.0000
   4   1   4    0.0000
   4   2  -4    0.0000
   4   2  -3    0.0000
   4   2  -2    0.0000
   4   2  -1    0.0000
   4   2   0    0.0417
   4   2   1    0.0000
   4   2   2    0.5000
   4   2   3    0.0000
   4   2   4   -7.0000
   4   3  -4   -1.0000
   4   3  -3    0.0000
   4   3  -2    0.2500
   4   3  -1    0.0000
   4   3   0    0.0000
   4   3   1    0.0000
   4   3   2    0.0000
   4   3   3    0.0000
   4   3   4    0.0000
   4   4  -4    0.0000
   4   4  -3    0.0000
   4   4  -2    0.0000
   4   4  -1    0.0000
   4   4   0    0.0052
   4   4   1    0.0000
   4   4   2   -0.0625
   4   4   3    0.0000
   4   4   4    0.1250
